,Modelname,Group,test_accuracy_best_val_acc,test_accuracy_best_val_loss,test_accuracy_terminal,test_loss_best_val_acc,test_loss_best_val_loss,test_loss_terminal,test_per_class_accuracy_best_val_acc,test_per_class_accuracy_best_val_loss,test_per_class_accuracy_terminal,train_accuracy,train_loss,train_per_class_accuracy,val_accuracy,val_loss,val_per_class_accuracy
220,VGGAdapted_pretrained_True_aug_True_lr_0.0001_wd_0.0001_g_0.95,VGGAdapted,0.7619047619047619,0.7619047619047619,0.7619047619047619,1.2145045229089668,1.2145045229089668,1.3409614640432188,0.761904761904762,0.761904761904762,0.7619047619047619,0.9995949777237748,0.0009890659403122577,0.999717992103779,0.9385113268608414,0.19002158677018577,0.9306107578166402
221,VGGAdapted_pretrained_False_aug_True_lr_0.001_wd_0.01_g_0.95,VGGAdapted,0.4476190476190477,0.37142857142857144,0.47619047619047616,202711351453.39456,24018924027.924458,192326853936.43103,0.4476190476190476,0.37142857142857144,0.4761904761904762,0.9566626164439044,0.11719136324523673,0.9483882354422708,0.6909385113268608,13366133518.041176,0.5304072454807749
222,VGGAdapted_pretrained_True_aug_True_lr_1e-05_wd_0.001_g_0.95,VGGAdapted,0.780952380952381,0.780952380952381,0.7619047619047619,0.9328239834024792,0.9328239834024792,1.196291818072842,0.780952380952381,0.780952380952381,0.7619047619047619,1.0,0.0022198316034226827,1.0,0.93042071197411,0.2553951396067359,0.9336892039097924
223,VGG_pretrained_True_aug_True_lr_1e-05_wd_1e-05_g_0.97,VGG,0.7523809523809524,0.7714285714285715,0.7619047619047619,1.162945072086794,1.0736943065942752,1.1409907979092428,0.7523809523809524,0.7714285714285715,0.7619047619047619,1.0,0.0020636755351488107,1.0,0.9288025889967636,0.2695225962832522,0.9325943590649473
224,VGG_pretrained_True_aug_True_lr_1e-05_wd_0.01_g_0.98,VGG,0.7523809523809524,0.7619047619047619,0.7523809523809524,1.12649140126471,1.0809108944166277,1.161953590065241,0.7523809523809524,0.7619047619047619,0.7523809523809524,1.0,0.0017633538500177828,1.0,0.9288025889967636,0.27092973415326915,0.9325943590649473
225,VGG_pretrained_False_aug_True_lr_0.001_wd_0.001_g_0.95,VGG,0.3523809523809524,0.37142857142857144,0.3619047619047619,158167089.19626328,1.55799860840752,2646668.5908405203,0.3523809523809524,0.37142857142857144,0.3619047619047619,0.690562980963953,0.6974408692703309,0.4905315352478239,0.6456310679611651,2624191.257904838,0.4552677677677678
226,VGG_pretrained_False_aug_False_lr_1e-05_wd_0.0001_g_0.98,VGG,0.5333333333333333,0.5333333333333333,0.5142857142857142,1.0170214908463615,1.0170214908463615,2.332461050578526,0.5333333333333333,0.5333333333333333,0.5142857142857143,1.0,0.0025196601359734525,1.0,0.5,1.785958710838767,0.5168997668997669
227,VGGAdapted_pretrained_True_aug_False_lr_0.0001_wd_0.001_g_0.99,VGGAdapted,0.8095238095238095,0.8095238095238095,0.819047619047619,0.6734424615899722,0.6925326597477709,0.5856460708947409,0.8095238095238096,0.8095238095238094,0.8190476190476191,0.9962825278810408,0.00748080682644766,0.9956140350877192,0.8529411764705882,0.2872220319421852,0.8363636363636364
228,VGG_pretrained_False_aug_True_lr_1e-05_wd_0.0001_g_0.99,VGG,0.5047619047619047,0.5047619047619047,0.5333333333333333,3.009728247778756,1.4706700194449651,3.111212941578456,0.5047619047619047,0.5047619047619047,0.5333333333333333,0.9995949777237748,0.007316175199521358,0.9997160704145373,0.7961165048543689,0.9174395117751988,0.7261894247188364
229,VGGAdapted_pretrained_True_aug_False_lr_0.0001_wd_0.0001_g_0.95,VGGAdapted,0.8476190476190476,0.7904761904761904,0.8571428571428571,0.4847391719619433,0.4981040282618432,0.4741045566187018,0.8476190476190476,0.7904761904761904,0.8571428571428571,0.9962825278810408,0.008043777546304413,0.9953703703703703,0.8823529411764706,0.2921384695698233,0.8681818181818182
230,VGG_pretrained_False_aug_False_lr_0.001_wd_1e-05_g_0.99,VGG,0.4666666666666667,0.380952380952381,0.4,1637370227.3552177,1.2207686798913138,1738840633.215422,0.4666666666666666,0.380952380952381,0.4000000000000001,0.8066914498141264,0.45545473860985286,0.7871175873568218,0.45588235294117646,9130064.255618433,0.4306526806526807
